].pos_y				= -2.162401 
=888=R=Obstacles[0].pos_y				= -2.005730 
=888=R=Obstacles[0].pos_x				= 7.146004 
=888=R=Obstacles[0].heading 				= 0.033724 
=888=R=Obstacles[0].length				= 3.000000 
=888=R=Obstacles[0].width				= 1.700000 
=888=R=Obstacles[0].rel_speed_y 			= 0.000000 
=888=R=Obstacles[0].rel_speed_x 			= 0.000000 
=888=R=Obstacles[0].id					= 148 
=888=R=Obstacles[0].type					= 1 
=888=R=Obstacles[0].pos_y				= -4.452569 
=888=R=Obstacles[0].pos_x				= -3.886268 
=888=R=Obstacles[0].heading 				= 0.033724 
=888=R=Obstacles[0].length				= 3.000000 
=888=R=Obstacles[0].width				= 1.700000 
=888=R=Obstacles[0].rel_speed_y 			= 0.000000 
=888=R=Obstacles[0].rel_speed_x 			= 0.000000 
=888=R=Obstacles[0].id					= 150 
=888=R=Obstacles[0].type					= 1 
=888=R=Obstacles[0].pos_y				= -7.545055 
=888=R=Obstacles[0].pos_x				= -3.850767 
=888=R=Obstacles[0].heading 				= 0.033724 
=888=R=Obstacles[0].length				= 3.000000 
=888=R=Obstacles[0].width				= 1.700000 
=888=R=Obstacles[0].rel_speed_y 			= 0.000000 
=888=R=Obstacles[0].rel_speed_x 			= 0.000000 
=888=R=Obstacles[0].id					= 151 
=888=R=Obstacles[0].type					= 1 
=888=R=Obstacles[0].pos_y				= -6.769792 
=888=R=Obstacles[0].pos_x				= -4.479457 
=888=R=Obstacles[0].heading 				= 0.033724 
=888=R=Obstacles[0].length				= 3.000000 
=888=R=Obstacles[0].width				= 1.700000 
=888=R=Obstacles[0].rel_speed_y 			= 0.000000 
=888=R=Obstacles[0].rel_speed_x 			= 0.000000 
=888=R=Obstacles[0].id					= 152 
=888=R=Obstacles[0].type					= 1 
=888=R=Obstacles[0].pos_y				= -2.730340 
=888=R=Obstacles[0].pos_x				= -3.729938 
=888=R=Obstacles[0].heading 				= 0.033724 
=888=R=Obstacles[0].length				= 3.000000 
=888=R=Obstacles[0].width				= 1.700000 
=888=R=Obstacles[0].rel_speed_y 			= 0.000000 
=888=R=Obstacles[0].rel_speed_x 			= 0.000000 
=888=R=Obstacles[0].id					= 157 
=888=R=Obstacles[0].type					= 1 
=888=R=Obstacles[0].pos_y				= -8.878232 
=888=R=Obstacles[0].pos_x				= -4.418087 
=888=R=Obstacles[0].heading 				= 0.033724 
=888=R=Obstacles[0].length				= 3.000000 
=888=R=Obstacles[0].width				= 1.700000 
=888=R=Obstacles[0].rel_speed_y 			= 0.000000 
=888=R=Obstacles[0].rel_speed_x 			= 0.000000 
=888=R=Obstacles[0].id					= 158 
=888=R=Obstacles[0].type					= 1 
=888=R=Obstacles[0].pos_y				= 4.325560 
=888=R=Obstacles[0].pos_x				= 2.608835 
=888=R=Obstacles[0].heading 				= 0.033724 
=888=R=Obstacles[0].length				= 3.000000 
=888=R=Obstacles[0].width				= 1.700000 
=888=R=Obstacles[0].rel_speed_y 			= 0.000000 
=888=R=Obstacles[0].rel_speed_x 			= 0.000000 
=888=R=Obstacles[0].id					= 160 
=888=R=Obstacles[0].type					= 1 
=888=R=Obstacles[0].pos_y				= 3.581367 
=888=R=Obstacles[0].pos_x				= 4.324828 
=888=R=Obstacles[0].heading 				= 0.033724 
=888=R=Obstacles[0].length				= 3.000000 
=888=R=Obstacles[0].width				= 1.700000 
=888=R=Obstacles[0].rel_speed_y 			= 0.000000 
=888=R=Obstacles[0].rel_speed_x 			= 0.000000 
=888=R=Obstacles[0].id					= 166 
=888=R=Obstacles[0].type					= 1 
=888=R=Obstacles[0].pos_y				= -14.974697 
=888=R=Obstacles[0].pos_x				= -5.494113 
=888=R=Obstacles[0].heading 				= 0.033724 
=888=R=Obstacles[0].length				= 3.000000 
=888=R=Obstacles[0].width				= 1.700000 
=888=R=Obstacles[0].rel_speed_y 			= 0.000000 
=888=R=Obstacles[0].rel_speed_x 			= 0.000000 
=888=R=Obstacles[0].id					= 170 
=888=R=Obstacles[0].type					= 1 
=888=R=Obstacles[0].pos_y				= 4.654724 
=888=R=Obstacles[0].pos_x				= 17.685886 
=888=R=Obstacles[0].heading 				= 0.033724 
=888=R=Obstacles[0].length				= 3.000000 
=888=R=Obstacles[0].width				= 1.700000 
=888=R=Obstacles[0].rel_speed_y 			= 0.000000 
=888=R=Obstacles[0].rel_speed_x 			= 0.000000 
 =777= ultparklist.num = 6 
 =777=surUltParkingFusion end 
=777=parkingFusion_state = 1  
=777=ParkingFusion_runTime_ns = -139650980  
=777=W=parkingSpaceOut.park_num						= 0 
 =777=ParkingFusion_firstTime: 462909480
=777=cameraParkInfos.time_stamp = 6586380  
=777=ultParkInfos.USSC_GPSTimeStamp = 0  
=777=localizationInfo.time_stamp = 0  
=777=vehiclespeed.ESP_0x305_time_stamp = 6586359  
=777=vehiclespeed.ESP_VehSpd = 0.000000  
=777=parkInfos.park_num = 0  
=777=vehicleInfo.PDCU_GearSig = 0.000000  
=777=cameraParkInfos.parking_space_num = 8  
=777=cameraParkInfos.SurViewParkingSpace[i].id = 1  
=777=cameraParkInfos.SurViewParkingSpace[i].park_type = 1  
=777=cameraParkInfos.SurViewParkingSpace[i].confidence = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_direction = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].fAngle = -90.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_length = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_width = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].valid_state = 0  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[0].x = 1.581000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[0].y = 4.350000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[1].x = 1.581000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[1].y = 9.375000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[2].x = 4.112250  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[2].y = 9.356250  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[3].x = 3.962250  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[3].y = 4.350000  
=777=cameraParkInfos.SurViewParkingSpace[i].id = 2  
=777=cameraParkInfos.SurViewParkingSpace[i].park_type = 1  
=777=cameraParkInfos.SurViewParkingSpace[i].confidence = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_direction = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].fAngle = -90.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_length = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_width = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].valid_state = 0  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[0].x = -0.669000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[0].y = 4.331250  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[1].x = -0.669000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[1].y = 9.356250  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[2].x = 1.581000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[2].y = 9.375000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[3].x = 1.581000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[3].y = 4.350000  
=777=cameraParkInfos.SurViewParkingSpace[i].id = 3  
=777=cameraParkInfos.SurViewParkingSpace[i].park_type = 1  
=777=cameraParkInfos.SurViewParkingSpace[i].confidence = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_direction = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].fAngle = -90.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_length = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_width = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].valid_state = 0  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[0].x = -2.844000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[0].y = 4.350000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[1].x = -2.844000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[1].y = 9.375000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[2].x = -0.669000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[2].y = 9.356250  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[3].x = -0.669000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[3].y = 4.331250  
=777=cameraParkInfos.SurViewParkingSpace[i].id = 4  
=777=cameraParkInfos.SurViewParkingSpace[i].park_type = 1  
=777=cameraParkInfos.SurViewParkingSpace[i].confidence = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_direction = 1.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].fAngle = 90.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_length = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_width = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].valid_state = 0  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[0].x = 1.656000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[0].y = -1.650000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[1].x = 1.581000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[1].y = -6.656250  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[2].x = -1.100250  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[2].y = -6.581250  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[3].x = -1.025250  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[3].y = -1.575000  
=777=cameraParkInfos.SurViewParkingSpace[i].id = 5  
=777=cameraParkInfos.SurViewParkingSpace[i].park_type = 1  
=777=cameraParkInfos.SurViewParkingSpace[i].confidence = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_direction = 1.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].fAngle = 90.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_length = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_width = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].valid_state = 0  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[0].x = -1.025250  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[0].y = -1.575000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[1].x = -1.100250  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[1].y = -6.581250  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[2].x = -3.612750  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[2].y = -6.562500  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[3].x = -3.462750  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[3].y = -1.556250  
=777=cameraParkInfos.SurViewParkingSpace[i].id = 6  
=777=cameraParkInfos.SurViewParkingSpace[i].park_type = 1  
=777=cameraParkInfos.SurViewParkingSpace[i].confidence = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_direction = 1.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].fAngle = 90.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_length = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_width = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].valid_state = 0  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[0].x = 4.168500  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[0].y = -1.575000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[1].x = 4.506000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[1].y = -6.581250  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[2].x = 1.581000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[2].y = -6.656250  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[3].x = 1.637250  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[3].y = -1.650000  
=777=cameraParkInfos.SurViewParkingSpace[i].id = 7  
=777=cameraParkInfos.SurViewParkingSpace[i].park_type = 1  
=777=cameraParkInfos.SurViewParkingSpace[i].confidence = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_direction = 1.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].fAngle = 90.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_length = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_width = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].valid_state = 0  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[0].x = 6.756000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[0].y = -1.575000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[1].x = 7.093500  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[1].y = -6.581250  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[2].x = 4.506000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[2].y = -6.581250  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[3].x = 4.168500  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[3].y = -1.575000  
=777=cameraParkInfos.SurViewParkingSpace[i].id = 8  
=777=cameraParkInfos.SurViewParkingSpace[i].park_type = 1  
=777=cameraParkInfos.SurViewParkingSpace[i].confidence = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_direction = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].fAngle = -90.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_length = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_width = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].valid_state = 0  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[0].x = 3.981000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[0].y = 4.350000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[1].x = 4.262250  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[1].y = 9.356250  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[2].x = 6.737250  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[2].y = 9.356250  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[3].x = 6.381000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[3].y = 4.350000  
=777==yaw			= 359.692158 
=777==LocalizationResult.x		= 0.000000 
=777==LocalizationResult.y		= 0.000000 
 =777= counts: 670
 =777= surParking_list.num = 0 
=666==VslamInput_w.search_radius2					= 20.000000 
 =777= ultparklist.num = 6 
 =777=surUltParkingFusion end 
=777=parkingFusion_state = 1  
=777=ParkingFusion_runTime_ns = 1793480  
=777=W=parkingSpaceOut.park_num						= 0 
 =777=ParkingFusion_firstTime: 464715840
=777=cameraParkInfos.time_stamp = 6586380  
=777=ultParkInfos.USSC_GPSTimeStamp = 0  
=777=localizationInfo.time_stamp = 0  
=777=vehiclespeed.ESP_0x305_time_stamp = 6586359  
=777=vehiclespeed.ESP_VehSpd = 0.000000  
=777=parkInfos.park_num = 0  
=777=vehicleInfo.PDCU_GearSig = 0.000000  
=777=cameraParkInfos.parking_space_num = 8  
=777=cameraParkInfos.SurViewParkingSpace[i].id = 1  
=777=cameraParkInfos.SurViewParkingSpace[i].park_type = 1  
=777=cameraParkInfos.SurViewParkingSpace[i].confidence = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_direction = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].fAngle = -90.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_length = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_width = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].valid_state = 0  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[0].x = 1.581000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[0].y = 4.350000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[1].x = 1.581000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[1].y = 9.375000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[2].x = 4.112250  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[2].y = 9.356250  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[3].x = 3.962250  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[3].y = 4.350000  
=777=cameraParkInfos.SurViewParkingSpace[i].id = 2  
=777=cameraParkInfos.SurViewParkingSpace[i].park_type = 1  
=777=cameraParkInfos.SurViewParkingSpace[i].confidence = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_direction = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].fAngle = -90.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_length = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_width = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].valid_state = 0  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[0].x = -0.669000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[0].y = 4.331250  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[1].x = -0.669000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[1].y = 9.356250  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[2].x = 1.581000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[2].y = 9.375000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[3].x = 1.581000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[3].y = 4.350000  
=777=cameraParkInfos.SurViewParkingSpace[i].id = 3  
=777=cameraParkInfos.SurViewParkingSpace[i].park_type = 1  
=777=cameraParkInfos.SurViewParkingSpace[i].confidence = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_direction = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].fAngle = -90.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_length = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_width = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].valid_state = 0  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[0].x = -2.844000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[0].y = 4.350000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[1].x = -2.844000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[1].y = 9.375000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[2].x = -0.669000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[2].y = 9.356250  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[3].x = -0.669000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[3].y = 4.331250  
=777=cameraParkInfos.SurViewParkingSpace[i].id = 4  
=777=cameraParkInfos.SurViewParkingSpace[i].park_type = 1  
=777=cameraParkInfos.SurViewParkingSpace[i].confidence = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_direction = 1.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].fAngle = 90.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_length = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_width = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].valid_state = 0  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[0].x = 1.656000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[0].y = -1.650000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[1].x = 1.581000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[1].y = -6.656250  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[2].x = -1.100250  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[2].y = -6.581250  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[3].x = -1.025250  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[3].y = -1.575000  
=777=cameraParkInfos.SurViewParkingSpace[i].id = 5  
=777=cameraParkInfos.SurViewParkingSpace[i].park_type = 1  
=777=cameraParkInfos.SurViewParkingSpace[i].confidence = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_direction = 1.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].fAngle = 90.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_length = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_width = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].valid_state = 0  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[0].x = -1.025250  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[0].y = -1.575000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[1].x = -1.100250  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[1].y = -6.581250  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[2].x = -3.612750  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[2].y = -6.562500  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[3].x = -3.462750  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[3].y = -1.556250  
=777=cameraParkInfos.SurViewParkingSpace[i].id = 6  
=777=cameraParkInfos.SurViewParkingSpace[i].park_type = 1  
=777=cameraParkInfos.SurViewParkingSpace[i].confidence = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_direction = 1.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].fAngle = 90.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_length = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_width = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].valid_state = 0  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[0].x = 4.168500  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[0].y = -1.575000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[1].x = 4.506000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[1].y = -6.581250  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[2].x = 1.581000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[2].y = -6.656250  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[3].x = 1.637250  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[3].y = -1.650000  
=777=cameraParkInfos.SurViewParkingSpace[i].id = 7  
=777=cameraParkInfos.SurViewParkingSpace[i].park_type = 1  
=777=cameraParkInfos.SurViewParkingSpace[i].confidence = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_direction = 1.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].fAngle = 90.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_length = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_width = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].valid_state = 0  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[0].x = 6.756000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[0].y = -1.575000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[1].x = 7.093500  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[1].y = -6.581250  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[2].x = 4.506000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[2].y = -6.581250  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[3].x = 4.168500  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[3].y = -1.575000  
=777=cameraParkInfos.SurViewParkingSpace[i].id = 8  
=777=cameraParkInfos.SurViewParkingSpace[i].park_type = 1  
=777=cameraParkInfos.SurViewParkingSpace[i].confidence = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_direction = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].fAngle = -90.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_length = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_width = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].valid_state = 0  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[0].x = 3.981000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[0].y = 4.350000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[1].x = 4.262250  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[1].y = 9.356250  
